,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
162,Shri Ram Singh Hospital & Heart Institute,"Krishna Nagar, Delhi",10.0,104.0,https://www.practo.com/delhi/hospital/shriramsinghhospital-heartinstitute
163,Cygnus MLS Superspecility Hospital,"Ram Vihar, Delhi",7.0,51.0,https://www.practo.com/delhi/hospital/cygnus-mls-superspecility-hospital-ram-vihar
164,Dr B D Attam Hospital,"Ashok Vihar Phase 2, Delhi",1.0,,https://www.practo.com/delhi/hospital/dr-b-d-attam-hospital-ashok-vihar-phase-2
165,Sanchet Hospital ,"Paschim Vihar, Delhi",2.0,20.0,https://www.practo.com/delhi/hospital/sanchet-hospital-paschim-vihar
166,Behl Hospital ,"Naraina Vihar, Delhi",1.0,15.0,https://www.practo.com/delhi/hospital/behl-hospital-naraina-vihar
167,Agarwal Nursing Home,"Tri Nagar, Delhi",45.0,10.0,https://www.practo.com/delhi/hospital/aggarwal-nursing-home-tri-nagar
168,Bhagwati Hospital,"Rohini, Delhi",1.0,100.0,https://www.practo.com/delhi/hospital/bhagwati-hospital-3-rohini-1
169,Rashmi Medical Centre,"Delhi, Delhi",1.0,,https://www.practo.com/delhi/hospital/rashmi-medical-centre-home-noida-sector-20
170,Paul Nursing Home & Child Care Center,"Hari Nagar, Delhi",2.0,8.0,https://www.practo.com/delhi/hospital/paul-nursing-home-child-care-centre-hari-nagar
171,Dr Bharti Nursing Home,"Delhi, Delhi",3.0,4.0,https://www.practo.com/delhi/hospital/dr-bharti-nursing-home-hari-nagar
172,Vibhu Nursing Home,"Malviya Nagar, Delhi",4.0,7.0,https://www.practo.com/delhi/hospital/vibhu-nursing-home-malviya-nagar-1-672828
173,Visitech Eye Centre,"South Extension 2, Delhi",4.0,10.0,https://www.practo.com/delhi/hospital/visitech-eye-centre-south-extension-2
174,RG Stone Urology & Laparoscopy Hospital,"Greater Kailash, Delhi",5.0,55.0,https://www.practo.com/delhi/hospital/rg-stone-urology-laparoscopy-hospital-a-k-market
175,Jain Muni Roshan Lal Charitable Hospital,"Tri Nagar, Delhi",1.0,25.0,https://www.practo.com/delhi/hospital/jain-muni-roshan-lal-charitable-hospital-tri-nagar
176,Viola Hospital ,"Okhla, Delhi",12.0,15.0,https://www.practo.com/delhi/hospital/viola-hospital-okhla
177,Sparsh Hospital,"Delhi, Delhi",2.0,2.0,https://www.practo.com/delhi/hospital/sparsh-hospital-gurgaon
178,Institute Of Liver And Biliary Sciences,"Vasant Kunj, Delhi",11.0,,https://www.practo.com/delhi/hospital/institute-of-liver-and-biliary-sciences-vasant-kunj
179,Jeevan Jyoti Hospital,"Okhla, Delhi",11.0,5.0,https://www.practo.com/delhi/hospital/jeevan-jyoti-hospital-okhla
180,Mahesh Hospital,"Patparganj, Delhi",8.0,20.0,https://www.practo.com/delhi/hospital/mahesh-hospital-patparganj-1
181,Bhagwan Mahavir Hospital,"Rohini, Delhi",1.0,,https://www.practo.com/delhi/hospital/bhagwan-mahavir-hospital-rohini
182,Ayushman Hospital,"Dwarka, Delhi",1.0,,https://www.practo.com/delhi/hospital/ayushman-hosital-dwarka
183,Shanti Dentals,"Rohini, Delhi",13.0,,https://www.practo.com/delhi/hospital/shanti-dental-hospital-rohini
184,Param Tej Sehra Medical Centre,"Punjabi Bagh, Delhi",1.0,5.0,https://www.practo.com/delhi/hospital/param-tej-sehra-medical-centre-punjabi-bagh
185,Genesis Hospital & Dental Centre,"Janak Puri, Delhi",1.0,55.0,https://www.practo.com/delhi/hospital/genesis-dental-janak-puri-1
