,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
120,Nova ENT Hospital,"Somajiguda, Hyderabad",4.0,30.0,https://www.practo.com/hyderabad/hospital/nova-ent-hospital-somajiguda-1
121,Preetam Hospitals Specialized Maternity Care,"Manikonda, Hyderabad",2.0,,https://www.practo.com/hyderabad/hospital/preetam-hospitals-specialized-maternity-care-manikonda
122,"Lakshmi Hospital for Women, Children & Multispeciality","Madinaguda, Hyderabad",2.0,50.0,https://www.practo.com/hyderabad/hospital/lakshmi-hospital-women-children-multi-specialty-madinaguda
123,Healing Touch Hospital,"West Marredpally, Hyderabad",9.0,,https://www.practo.com/hyderabad/hospital/healing-touch-hospital-secunderabad-1
124,Adavally Damodar Reddy Memorial Hospital - Hyderabad,"Ramanthapur, Hyderabad",9.0,,https://www.practo.com/hyderabad/hospital/a-d-r-m-hospital-ramanthapur
125,Shreyas Multi Speciality Hospital,"Kapra, Hyderabad",13.0,,https://www.practo.com/hyderabad/hospital/shreyas-multi-speciality-hospital-kapra
126,Sathya Kidney Centre & Super Speciality Hospitals,"Himayat Nagar, Hyderabad",6.0,,https://www.practo.com/hyderabad/hospital/satya-kidney-center-himayat-nagar
127,Shalini Hospital,"Barkatpura, Hyderabad",7.0,,https://www.practo.com/hyderabad/hospital/shalini-hospital-barkatpura
128,Challa Hospitals,"Ameerpet, Hyderabad",27.0,100.0,https://www.practo.com/hyderabad/hospital/challa-hospital-ameerpet-2
129,Vikram Hospital,"Madhapur, Hyderabad",7.0,,https://www.practo.com/hyderabad/hospital/vikram-hospital-madhapur-1
130,BBR Super Speciality Hospital,"Balanagar, Hyderabad",26.0,175.0,https://www.practo.com/hyderabad/hospital/bbr-hospital-balanagar-1
131,Archana Hospitals,"Madinaguda, Hyderabad",12.0,100.0,https://www.practo.com/hyderabad/hospital/archana-hospital-ent-centre
132,Venus Hospital,"Malakpet, Hyderabad",11.0,100.0,https://www.practo.com/hyderabad/hospital/venus-multi-speciality-hospital-malakpet
133,Sai Siva Children Hospital,"Chanda Nagar, Hyderabad",6.0,30.0,https://www.practo.com/hyderabad/hospital/sai-siva-children-hospital-chanda-nagar
134,S V Pooja Hospital,"Hyder Nagar, Hyderabad",3.0,50.0,https://www.practo.com/hyderabad/hospital/s-v-pooja-hospital-kukatpally
135,Rohan Hospital,"Mehdipatnam, Hyderabad",3.0,35.0,https://www.practo.com/hyderabad/hospital/rohan-hospital-vijay-nagar-colony
136,Soorya Orthopaedic Hospital,"Ecil, Hyderabad",1.0,50.0,https://www.practo.com/hyderabad/hospital/soorya-orthopaedic-hospital-ecil
137,Aries Maternity Hospital,"Mehdipatnam, Hyderabad",2.0,35.0,https://www.practo.com/hyderabad/hospital/aries-meternity-hospital-asif-nagar
138,Konaseema Hospitals,"Kukatpally, Hyderabad",1.0,100.0,https://www.practo.com/hyderabad/hospital/konaseema-hospitals-kukatpally
139,BSR ENT And Eye Hospital,"Secunderabad, Hyderabad",3.0,10.0,https://www.practo.com/hyderabad/hospital/bsr-ent-and-eye-nursing-home-secunderabad
140,Aditya Hospital,"Uppal, Hyderabad",32.0,200.0,https://www.practo.com/hyderabad/hospital/aditya-hospitals-uppal-karkhana
141,Xenia Hospital,"Ecil, Hyderabad",11.0,100.0,https://www.practo.com/hyderabad/hospital/xenia-hospital-ecil
142,Sri Sai Ram Hospital,"Langer House, Hyderabad",1.0,20.0,https://www.practo.com/hyderabad/hospital/sri-sai-ram-hospital-langer-house
143,Madhuri Hospital,"Yousufguda, Hyderabad",5.0,10.0,https://www.practo.com/hyderabad/hospital/madhuri-hospital-yousufguda-1
144,Vivekananda Hospital,"Begumpet, Hyderabad",10.0,102.0,https://www.practo.com/hyderabad/hospital/vivekananda-hospital-begumpet-begumpet
145,Dr Naveen Reddy's General Hospital,"Moti Nagar, Hyderabad",1.0,50.0,https://www.practo.com/hyderabad/hospital/dr-naveen-reddy-s-general-hospital-moti-nagar
